latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.6904,10.731,304.5,1,1,2001-02-01,1018,Terra,MODIS,0,6.03,289.6,4.2,D,2
36.8587,9.7768,300.3,1.5,1.2,2001-02-03,1005,Terra,MODIS,33,6.03,285.5,9.1,D,0
36.5027,9.6095,320.6,1.3,1.1,2001-05-04,1040,Terra,MODIS,73,6.03,300.5,13.8,D,0
33.8598,8.031,349.3,1.4,1.2,2001-06-02,1010,Terra,MODIS,93,6.03,312.9,74.4,D,0
36.8317,10.0124,301.6,1.1,1,2001-06-05,2142,Terra,MODIS,43,6.03,290,5.9,N,2
36.7222,10.4832,303.5,1.5,1.2,2001-07-20,2111,Terra,MODIS,56,6.03,292.7,8.5,N,2
36.5904,10.422,337.3,2.7,1.6,2001-07-28,1056,Terra,MODIS,82,6.03,306.9,104.9,D,0
36.5943,10.4311,338.3,2.7,1.6,2001-07-28,1056,Terra,MODIS,83,6.03,306.5,112.1,D,0
36.6008,10.4031,333.1,2.7,1.6,2001-07-28,1056,Terra,MODIS,76,6.03,307.6,79.5,D,0
36.5027,9.6018,334.6,1.3,1.1,2001-08-08,1038,Terra,MODIS,74,6.03,320.7,16.4,D,0
36.5002,9.6159,333.3,1.3,1.1,2001-08-08,1038,Terra,MODIS,66,6.03,319.7,12.9,D,0
36.8463,9.5085,340.7,1.1,1,2001-08-12,1013,Terra,MODIS,87,6.03,312.5,33.3,D,0
36.7055,9.4204,324.2,2.3,1.5,2001-08-13,1056,Terra,MODIS,57,6.03,310,22.2,D,0
36.569,8.7998,302.7,1.6,1.2,2001-08-13,2159,Terra,MODIS,51,6.03,290.8,10.5,N,0
36.3552,9.0888,327.5,1.6,1.3,2001-08-30,1001,Terra,MODIS,70,6.03,305.7,22.5,D,0
36.7881,9.3681,319.1,1,1,2001-09-11,1024,Terra,MODIS,59,6.03,307,5.6,D,0
36.7898,9.357,323.9,1,1,2001-09-11,1024,Terra,MODIS,71,6.03,307.6,10.3,D,0
36.8956,9.3936,318.7,1,1,2001-09-11,1024,Terra,MODIS,57,6.03,305.8,6,D,0
36.9795,9.3781,316.1,1,1,2001-10-22,1017,Terra,MODIS,59,6.03,303.3,5.4,D,0
37.2497,9.889,319.7,1,1,2001-11-14,1022,Terra,MODIS,67,6.03,289.5,17.5,D,2
37.1382,9.8221,305.4,1.1,1,2002-02-25,1026,Terra,MODIS,44,6.03,289.1,7.2,D,0
36.6177,9.0562,328.9,1.4,1.2,2002-06-05,1001,Terra,MODIS,74,6.03,311.1,15.4,D,0
31.4128,9.9319,305.7,1.6,1.2,2002-06-13,2152,Terra,MODIS,65,6.03,292.4,14.2,N,0
31.4127,9.9384,306.3,1.6,1.2,2002-06-13,2152,Terra,MODIS,68,6.03,292.5,15.9,N,0
36.9133,9.3283,323.2,2.6,1.5,2002-06-16,943,Terra,MODIS,62,6.03,309.5,31.7,D,0
37.0715,9.4836,328,1.1,1,2002-06-17,1025,Terra,MODIS,62,6.03,315.3,8.9,D,0
37.0696,9.4954,329.4,1.1,1,2002-06-17,1025,Terra,MODIS,66,6.03,315.9,10.3,D,0
36.7402,8.4766,331.2,1.3,1.1,2002-07-01,1038,Terra,MODIS,73,6.03,314.5,20.2,D,0
36.7429,8.4622,334.6,1.3,1.1,2002-07-01,1038,Terra,MODIS,79,6.03,312.6,27.2,D,0
36.5415,10.4071,333.8,1.3,1.1,2002-07-01,2141,Terra,MODIS,100,6.03,287,49.4,N,0
36.5432,10.4223,349.5,1.3,1.1,2002-07-01,2141,Terra,MODIS,100,6.03,288.3,90.7,N,0
36.5534,10.4213,305.6,1.3,1.1,2002-07-01,2141,Terra,MODIS,62,6.03,284.4,9.7,N,0
36.5518,10.406,302.8,1.3,1.1,2002-07-01,2141,Terra,MODIS,40,6.03,284.7,6.8,N,0
36.8074,8.5808,317.8,1.3,1.1,2002-07-21,2117,Terra,MODIS,95,6.03,300.7,14.2,N,0
36.8098,8.5946,328.8,1.3,1.1,2002-07-21,2117,Terra,MODIS,100,6.03,301.1,30.6,N,0
36.5161,8.3209,338.9,1.1,1,2002-08-06,1013,Terra,MODIS,82,6.03,307.1,29.3,D,0
36.5054,8.3304,431.7,1.1,1,2002-08-06,1013,Terra,MODIS,100,6.03,314.7,544.7,D,0
36.5069,8.3186,374.9,1.1,1,2002-08-06,1013,Terra,MODIS,100,6.03,308.6,133.9,D,0
36.5146,8.3325,353.7,1.1,1,2002-08-06,1013,Terra,MODIS,95,6.03,310.1,61,D,2
37.2267,9.8941,315.2,1.1,1,2002-08-15,1007,Terra,MODIS,63,6.03,305.1,11.7,D,3
36.8245,11.0407,324.6,1.1,1.1,2002-08-24,1001,Terra,MODIS,73,6.03,301.5,11.1,D,0
36.826,11.0283,329.4,1.1,1.1,2002-08-24,1001,Terra,MODIS,82,6.03,302.4,17.9,D,0
36.8202,11.034,329,1.1,1.1,2002-08-24,1001,Terra,MODIS,77,6.03,302.1,18.1,D,0
33.304,11.2163,314.7,1,1,2002-08-24,1002,Terra,MODIS,51,6.03,303.2,8.5,D,3
31.4815,10.1068,310.4,1.1,1,2002-08-27,104,Aqua,MODIS,80,6.03,296.2,10.3,N,0
37.0016,9.3317,304.2,1,1,2002-08-29,2123,Terra,MODIS,59,6.03,289.9,6.8,N,0
36.5133,8.2957,357.7,1,1,2002-09-08,1231,Aqua,MODIS,98,6.03,304.4,76.3,D,0
31.4761,10.1097,306.7,1.1,1,2002-09-12,104,Aqua,MODIS,69,6.03,289.6,10.1,N,0
36.7743,9.6337,347.9,1,1,2002-09-15,1236,Aqua,MODIS,93,6.03,309.4,49.8,D,0
36.5977,10.7728,307.4,1.2,1.1,2002-09-16,2110,Terra,MODIS,71,6.03,289.6,10.5,N,0
31.7093,9.2505,301.5,2.3,1.5,2002-09-23,46,Aqua,MODIS,42,6.03,288.8,20.1,N,0
31.4801,10.1043,321,1,1,2002-09-28,2133,Terra,MODIS,100,6.03,288.2,21.4,N,0
31.4039,10.0229,306.5,1.1,1,2002-10-14,104,Aqua,MODIS,68,6.03,283.5,12.5,N,0
31.7049,9.2362,301.7,1.2,1.1,2002-10-16,2121,Terra,MODIS,43,6.03,288.5,9.2,N,0
31.7033,9.2423,313.5,1.2,1.1,2002-10-16,2121,Terra,MODIS,87,6.03,289,18.6,N,0
31.707,9.2486,303.1,1.2,1.1,2002-10-16,2121,Terra,MODIS,53,6.03,289.5,10.2,N,0
36.1101,10.3889,305.7,1,1,2003-02-21,1019,Terra,MODIS,62,6.03,290.8,4.9,D,0
31.3946,10.0235,326,1,1,2003-05-03,2126,Terra,MODIS,100,6.03,292.5,25.6,N,0
31.7094,10.1637,300.9,1,1,2003-05-10,2132,Terra,MODIS,35,6.03,290.1,6.2,N,0
36.4544,10.0258,315.2,1.9,1.4,2003-05-19,1159,Aqua,MODIS,59,6.03,300.7,14.3,D,0
36.4587,10.0466,337.8,1.9,1.4,2003-05-19,1159,Aqua,MODIS,88,6.03,302.9,82.5,D,0
37.1374,9.7995,324.8,1.2,1.1,2003-06-05,1242,Aqua,MODIS,52,6.03,310.2,8.7,D,2
36.4937,10.7021,325.9,1,1,2003-06-15,1006,Terra,MODIS,59,6.03,308.9,8.3,D,0
36.5799,9.5843,301.3,1.6,1.2,2003-06-20,56,Aqua,MODIS,39,6.03,289.7,9.6,N,0
36.9944,11.0197,324.9,2.5,1.5,2003-06-22,1147,Aqua,MODIS,63,6.03,310.9,36.1,D,0
36.987,11.0179,324.4,2.5,1.5,2003-06-22,1147,Aqua,MODIS,58,6.03,309.8,35,D,0
36.8298,10.0443,332.4,1.1,1,2003-06-25,1217,Aqua,MODIS,68,6.03,316.3,12.7,D,2
36.6694,9.2195,346.5,1,1,2003-06-29,1018,Terra,MODIS,90,6.03,314.7,34.2,D,0
36.6766,9.2326,328.8,1,1,2003-06-29,1018,Terra,MODIS,52,6.03,312.7,6.5,D,0
36.6677,9.2306,331.2,1,1,2003-06-29,1018,Terra,MODIS,69,6.03,312.8,9.4,D,0
